ind1	ind2	match_perc
Mcapitata_HTHC_TP6_1604	Mcapitata_ATAC_TP4_1108	86.080000
Mcapitata_HTHC_TP5_1449	Mcapitata_HTHC_TP6_1604	86.070000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTHC_TP5_1449	86.070000
Mcapitata_HTHC_TP4_1328	Mcapitata_HTHC_TP6_1604	86.070000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTHC_TP4_1328	86.070000
Mcapitata_HTHC_TP10_1689	Mcapitata_HTHC_TP8_1246	86.070000
Mcapitata_HTHC_TP8_1246	Mcapitata_HTHC_TP10_1689	86.070000
Mcapitata_HTAC_TP9_1467	Mcapitata_HTHC_TP5_1694	86.070000
Mcapitata_HTHC_TP5_1694	Mcapitata_HTAC_TP9_1467	86.070000
Mcapitata_HTAC_TP7_1645	Mcapitata_HTHC_TP6_1604	86.070000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTAC_TP7_1645	86.070000
Mcapitata_HTAC_TP4_2000	Mcapitata_HTHC_TP1_1145	86.070000
Mcapitata_HTHC_TP1_1145	Mcapitata_HTAC_TP4_2000	86.070000
Mcapitata_HTAC_TP1_1579	Mcapitata_HTAC_TP4_1481	86.070000
Mcapitata_HTAC_TP4_1481	Mcapitata_HTAC_TP1_1579	86.070000
Mcapitata_ATHC_TP7_2875	Mcapitata_HTHC_TP4_1328	86.070000
Mcapitata_HTHC_TP4_1328	Mcapitata_ATHC_TP7_2875	86.070000
