# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Mcapitata_ATHC_TP7_2860,Mcapitata_HTHC_TP12_1274,515952,515952,515952,443960.500000,86.050000,NA
Mcapitata_ATHC_TP6_1212,Mcapitata_HTHC_TP3_1277,515952,515952,515952,443987.500000,86.050000,NA
Mcapitata_ATHC_TP5_2986,Mcapitata_HTHC_TP12_1274,515952,515952,515952,443987.000000,86.050000,NA
Mcapitata_ATHC_TP3_2866,Mcapitata_HTAC_TP3_1289,515952,515952,515952,443959.500000,86.050000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_HTAC_TP1_2153,515952,515952,515952,443960.000000,86.050000,NA
Mcapitata_ATAC_TP7_1455,Mcapitata_HTHC_TP3_1277,515952,515952,515952,443995.500000,86.050000,NA
Mcapitata_ATAC_TP5_1196,Mcapitata_ATHC_TP10_2554,515952,515952,515952,443991.500000,86.050000,NA
Mcapitata_ATAC_TP3_1548,Mcapitata_HTHC_TP6_1317,515952,515952,515952,443982.500000,86.050000,NA
Mcapitata_HTAC_TP7_1645,Mcapitata_HTHC_TP5_1694,515952,515952,515952,443900.000000,86.040000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTAC_TP6_1588,515952,515952,515952,443932.500000,86.040000,NA
Mcapitata_HTAC_TP4_1481,Mcapitata_HTAC_TP8_2410,515952,515952,515952,443911.000000,86.040000,NA
Mcapitata_ATHC_TP7_2860,Mcapitata_HTHC_TP1_1145,515952,515952,515952,443943.500000,86.040000,NA
Mcapitata_ATHC_TP5_2986,Mcapitata_HTAC_TP5_1321,515952,515952,515952,443918.000000,86.040000,NA
Mcapitata_ATHC_TP3_2866,Mcapitata_HTHC_TP4_1328,515952,515952,515952,443912.000000,86.040000,NA
Mcapitata_ATHC_TP3_1544,Mcapitata_HTAC_TP4_1481,515952,515952,515952,443908.500000,86.040000,NA
Mcapitata_ATHC_TP1_1826,Mcapitata_HTAC_TP4_1481,515952,515952,515952,443933.000000,86.040000,NA
Mcapitata_ATHC_TP12_2990,Mcapitata_ATHC_TP9_2995,515952,515952,515952,443940.000000,86.040000,NA
Mcapitata_ATHC_TP12_1154,Mcapitata_HTAC_TP5_1321,515952,515952,515952,443915.500000,86.040000,NA
Mcapitata_ATHC_TP11_2188,Mcapitata_HTHC_TP7_2419,515952,515952,515952,443923.500000,86.040000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_HTAC_TP4_1481,515952,515952,515952,443934.000000,86.040000,NA
Mcapitata_ATAC_TP9_1121,Mcapitata_HTAC_TP7_1278,515952,515952,515952,443938.000000,86.040000,NA
Mcapitata_ATAC_TP3_1548,Mcapitata_HTAC_TP7_1278,515952,515952,515952,443950.500000,86.040000,NA
Mcapitata_ATAC_TP3_1548,Mcapitata_ATHC_TP6_2016,515952,515952,515952,443905.500000,86.040000,NA
Mcapitata_ATAC_TP3_1101,Mcapitata_HTAC_TP4_1481,515952,515952,515952,443905.000000,86.040000,NA
Mcapitata_ATAC_TP1_1652,Mcapitata_HTAC_TP7_1278,515952,515952,515952,443908.000000,86.040000,NA
Mcapitata_ATAC_TP12_2403,Mcapitata_HTAC_TP7_1645,515952,515952,515952,443915.000000,86.040000,NA
Mcapitata_HTAC_TP3_2021,Mcapitata_HTAC_TP5_1321,515952,515952,515952,443874.000000,86.030000,NA
Mcapitata_HTAC_TP10_1315,Mcapitata_HTAC_TP4_1481,515952,515952,515952,443883.000000,86.030000,NA
Mcapitata_ATHC_TP8_2753,Mcapitata_HTHC_TP11_1270,515952,515952,515952,443892.000000,86.030000,NA
Mcapitata_ATHC_TP8_2753,Mcapitata_HTAC_TP1_2153,515952,515952,515952,443862.500000,86.030000,NA
Mcapitata_ATHC_TP5_1706,Mcapitata_HTAC_TP8_2410,515952,515952,515952,443850.000000,86.030000,NA
